"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cxxc5",1243.49204586262,-2.46329782247321,0.196311044835014,-12.547932922182,4.0802259363645e-36,5.76005495436577e-32
"Gjb3",1046.74082439091,1.98384103997971,0.178508434536957,11.11343027082,1.07932065829076e-28,7.61838486654531e-25
"Rbm47",1871.54746520208,1.25304020424739,0.123136749987004,10.1760051680724,2.53766267425604e-24,1.19413946574909e-20
"Klhl13",3859.64039407687,1.7002402470461,0.167918778269903,10.1253729008987,4.26350456011422e-24,1.50469734687831e-20
"Rhox9",250.880258960284,2.96767928752182,0.316502934388124,9.37646689835293,6.82204464252377e-21,1.92613608437016e-17
"Sfmbt2",3480.92433517323,1.61109598966453,0.175448788607646,9.18271367075328,4.20361934118842e-20,9.89041570659281e-17
"Cdyl2",2221.17928050772,1.06022622796061,0.128802608558095,8.23140338405809,1.85032730169851e-16,3.73158150258256e-13
"Wnt7b",222.318692547786,2.76717230909167,0.338432896916221,8.17642827959684,2.92381424291154e-16,5.15943570839778e-13
"Gpat3",144.599857483835,2.11784830049488,0.260777744764144,8.12127699934799,4.61303815257096e-16,7.23580662220491e-13
"Ak4",2465.73090980343,0.914241569711994,0.113241585124884,8.07337312263655,6.83822302998765e-16,9.65351945143357e-13
"Ulk1",3176.81015713328,0.945546849613135,0.117741261200087,8.03071786369172,9.69039684208504e-16,1.2436302929065e-12
"Mt2",2749.20580839793,1.40798346457632,0.184284472294142,7.64027184194333,2.16763590202511e-14,2.53753876368964e-11
"Tle6",204.680584365226,1.78688048872151,0.234173204285372,7.63059332161655,2.33675737961077e-14,2.53753876368964e-11
"Plekhh1",943.788005436324,0.932186171444376,0.124621801626647,7.48012112870186,7.42541389072943e-14,7.48746913538767e-11
"Atg13",1323.81445879379,0.913006807146697,0.122830171950956,7.43308254515224,1.06095645342972e-13,9.98501483537822e-11
"Hk1",1313.30771234055,1.1825389403337,0.160843725813807,7.35209865570146,1.95118701353911e-13,1.72155669188323e-10
"AU015836",989.753798142601,1.61077537071624,0.221965481039578,7.25687329026185,3.96140468794295e-13,3.07368017417506e-10
"Eps8l2",439.368149267446,1.4025808625583,0.193432569045272,7.25100674349227,4.1368508400741e-13,3.07368017417506e-10
"Kctd15",535.090288686258,1.13693097519762,0.156689233174469,7.25596106486575,3.98819802783958e-13,3.07368017417506e-10
"Aard",204.21020543171,2.04603786861929,0.283331845382785,7.22134804809911,5.14747183956266e-13,3.6333429979553e-10
"Sfn",1515.1191324926,1.13488690482003,0.157738216068373,7.1947492060396,6.25756771602956e-13,4.20657540224711e-10
"Elf3",806.391746250048,1.34448323199731,0.191736275653629,7.01214847015239,2.34685959374463e-12,1.5059371311315e-09
"Plekhg5",959.837850845449,1.0661747661338,0.152469932621841,6.99268864227902,2.69667547112754e-12,1.65517250547424e-09
"Ntn1",1058.16849753363,-1.39220468227699,0.199633555973583,-6.9738009498825,3.08490480431919e-12,1.81456671344058e-09
"Wwc2",2545.09125880217,0.632716581609967,0.0914687019145734,6.91730141968002,4.60327981075559e-12,2.59938004353747e-09
"Htra1",179.873342754261,1.88853664990331,0.277670305358257,6.80136339197912,1.03633641849599e-11,5.62690816150306e-09
"Psap",3726.31354037857,0.550804770973657,0.0826297868903983,6.66593478819273,2.62986020051202e-11,1.37502727594919e-08
"Tfap2c",1814.99634047384,1.28805703242952,0.194299149966709,6.62924687344344,3.37403881512025e-11,1.70111806975188e-08
"Eif2s3y",358.291058577145,-2.31170615318601,0.349539426722854,-6.61357768667092,3.75140981349522e-11,1.82616042541766e-08
"D230025D16Rik",1666.51550145788,0.656377801576286,0.100058155174285,6.55996305781359,5.38211100624349e-11,2.53264203583798e-08
"H2afy",3184.85140531256,0.716685351090685,0.109601346471799,6.53901958471916,6.19234168894678e-11,2.81991250396328e-08
"Nrk",723.240910104134,0.931240414976344,0.142636701118895,6.52875737921131,6.6317574541914e-11,2.92564124940062e-08
"Sik1",2877.20714614915,0.717264588366506,0.111745643474362,6.41872529492451,1.37420122893875e-10,5.87866628755404e-08
"Pramef12",359.371262345593,1.4042913702258,0.221803547241656,6.33123945802282,2.43199564438853e-10,1.00977889740685e-07
"Pdgfa",347.987776127257,1.21502723272378,0.193363172438958,6.28365379714358,3.30706726020644e-10,1.33388195749527e-07
"3830417A13Rik",72.6425056786246,3.24445531594105,0.518006844349573,6.26334449309236,3.76806909793189e-10,1.47760642931957e-07
"Aif1l",740.131504072178,0.899902665329922,0.144927670366592,6.20932264386528,5.32134682173832e-10,2.03030954276973e-07
"Cldn4",903.320551437563,1.0801993148474,0.174107779203891,6.20419902997223,5.49761747316875e-10,2.04236489128219e-07
"Nr4a1",648.252766496284,0.872970182313733,0.141734036571705,6.15921343545511,7.31071410821973e-10,2.64629105296764e-07
"Fabp3",1728.42249318554,1.50389877236882,0.245155375738975,6.13447193574931,8.54425249574667e-10,3.01548031206139e-07
"Usp26",131.300853554047,-3.2531396939862,0.531550464571864,-6.1200956650587,9.3519194954791e-10,3.22002554921167e-07
"Jak3",862.848175701077,0.873018893553947,0.14311132645704,6.10027812030668,1.05884067527413e-09,3.4761985611267e-07
"Slc40a1",758.568946444129,1.0818889201638,0.177242024951659,6.1040203104138,1.0343313385698e-09,3.4761985611267e-07
"Urgcp",453.578528293203,1.08416862218887,0.178716794298474,6.06640593820303,1.30804274300677e-09,4.19673622796059e-07
"Pygl",93.7678041812618,1.8966296412544,0.314222673186475,6.03594139792976,1.58038603219887e-09,4.95784658145587e-07
"Lgals1",1473.14147756898,1.12000649471562,0.185863094168678,6.02597573082029,1.6809240706877e-09,5.15860980563006e-07
"Aqp3",217.832487600161,2.09040482042022,0.348979540835848,5.99004977602254,2.09776823409122e-09,6.30089237460974e-07
"Dppa3",843.882138604321,1.6461273668936,0.275072025396896,5.98435033340245,2.17255252023552e-09,6.38956748503433e-07
"Aes",1386.99730048883,0.653273538850044,0.110178216198421,5.9292441046019,3.04332381865851e-09,8.76787803020452e-07
"Mt1",1673.06311628969,1.07908740662079,0.184240112361682,5.85696237799963,4.71409863142446e-09,1.33097860759638e-06
"Mir669k",47.7829875128083,2.96322237591741,0.507559653821149,5.83817557918339,5.27755253840333e-09,1.46084723891451e-06
"Adgrg6",104.392607075655,1.94220243437476,0.335577668261046,5.78763910137165,7.13825700250822e-09,1.92900816765601e-06
"Lgals9",383.13352858653,2.01115606069485,0.347637479045562,5.785210691944,7.24215009462127e-09,1.92900816765601e-06
"Slco4c1",135.767986142069,1.55536383116456,0.271268033771854,5.73367900942091,9.82752400497408e-09,2.56916956255961e-06
"Cdh3",1797.69685246886,0.898939507743403,0.156992145610262,5.72601580957464,1.02816643735673e-08,2.63902283566635e-06
"Ckb",1777.33575840953,1.23106672705504,0.217291867155285,5.66549840623014,1.4659778749693e-08,3.69557315373957e-06
"Mfge8",1182.96358234839,1.13913264102925,0.203312167501926,5.60287490426985,2.10825384537508e-08,5.22144202371229e-06
"Adgre5",831.338067075705,0.897069445862396,0.166110478394642,5.40043863898314,6.64781475382723e-08,1.5958996920784e-05
"Notch1",1602.78497508787,0.759141374874007,0.140585762014124,5.39984536128017,6.6698364973171e-08,1.5958996920784e-05
"Sin3b",3507.55303724341,0.512175237961078,0.0951524967701078,5.38267786286799,7.33858034391869e-08,1.72664564525167e-05
"Hsdl1",964.807305604936,0.701853069835071,0.131225387461918,5.34845492484257,8.87082621880915e-08,2.04782918551513e-05
"Lnx1",187.093258741804,1.43369695992372,0.26818314332986,5.34596224849336,8.99379538867591e-08,2.04782918551513e-05
"Tmem184b",900.388870215854,0.706542335439032,0.132442297951091,5.33471818572604,9.56930606079879e-08,2.14428402635391e-05
"Ralgds",958.13846383512,0.583718960811343,0.109823156287808,5.315080904082,1.06609948991297e-07,2.35158226548459e-05
"Alpl",2738.5926335122,0.836602781663187,0.157970120571086,5.29595583417131,1.18395453783148e-07,2.57136710931799e-05
"Phf19",518.872613723208,1.58605767632715,0.302578930230731,5.24179814872669,1.59019273379458e-07,3.40132588226941e-05
"Gjb5",214.516797015365,1.72931350680776,0.330466467793164,5.23294698659147,1.66828598421995e-07,3.51510346854224e-05
"Dap",277.876479689278,0.939511494905681,0.17985180898719,5.22380898027329,1.75279599453068e-07,3.63885603746905e-05
"Afap1",860.758093946195,1.05431895907125,0.202103150285117,5.21673688699986,1.82102643231283e-07,3.71906760413504e-05
"Sptbn2",2410.9559971906,1.07034293148074,0.205266711288106,5.21440093605065,1.84412220931822e-07,3.71906760413504e-05
"Myh9",19773.8217105453,0.535997794957334,0.103569074771288,5.17526873867493,2.27583165490347e-07,4.52505851722145e-05
"Def8",1997.32736850504,0.558397436999735,0.108370742503185,5.15265858756414,2.56819271747329e-07,5.03544119341256e-05
"Cotl1",1526.73954821157,0.791212222627209,0.153884224947287,5.14160709389307,2.72398309658599e-07,5.26773553075402e-05
"Gm9",35.1445222727197,3.32182885384691,0.646496782872287,5.13819858327605,2.77384670441054e-07,5.29167485488697e-05
"4933402E13Rik",49.2701167999675,2.13901446626106,0.4175704762003,5.12252323422172,3.01473934180965e-07,5.67454337177691e-05
"Ppp4r3b",3084.33318125452,-0.385531863681517,0.075323346581477,-5.11835813434669,3.08206937406736e-07,5.72494386233012e-05
"Arl14epl",384.335294244461,1.94686720826495,0.381158599240985,5.10776147289295,3.25997810127394e-07,5.94257414834573e-05
"Ccnd3",3407.9409211714,0.72754756419391,0.142477397300579,5.10640689666045,3.28342270716843e-07,5.94257414834573e-05
"Ist1",2381.8461794616,0.564186182899531,0.111139051765023,5.07639910490121,3.84654902614527e-07,6.78771657526159e-05
"Tinagl1",87.7982262135916,2.34268620752251,0.46139223908572,5.0774287234755,3.82576953777614e-07,6.78771657526159e-05
